episode,total_reward,normalised_reward,steps,mean_loss,completed_requests,picked_up_requests,avg_wait_until_pickup,avg_excess_ride_time,epsilon,lr,eval_completed_requests,eval_picked_up_requests,eval_avg_wait_until_pickup,eval_avg_excess_ride_time,eval_eval_total_reward,eval_eval_steps
1,-255.31585277571787,-1.2765792638785893,200,,200,200,250.5,177.75903595600667,0.05,5e-05,,,,,,
2,-28.089479005202378,-0.1404473950260119,200,,200,200,234.3,157.41026878716514,0.05,5e-05,,,,,,
3,40.83349390119522,0.20416746950597608,200,1.735000820159912,200,200,231.95,142.33124684556583,0.049796954314720816,4.999691612800995e-05,,,,,,
4,68.28646250610701,0.3414323125305351,200,1.6091888093948363,200,200,217.45,125.766600391344,0.04959390862944163,4.9987665288388054e-05,,,,,,
5,83.70604360330871,0.41853021801654355,200,1.4500608444213867,200,200,183.3,127.23873122580106,0.049390862944162436,4.99722498099837e-05,200.0,200.0,189.2,116.75769071356996,100.19037252106563,200.0
6,87.05584643905792,0.4352792321952896,200,1.4099207639694213,200,200,182.75,122.62625233701402,0.04918781725888325,4.995067357356118e-05,,,,,,
7,56.791403717819385,0.28395701858909694,200,1.278515191078186,200,200,173.1,133.68898777412593,0.04898477157360406,4.9922942010822585e-05,,,,,,
8,75.39151927431922,0.3769575963715961,200,1.2849934577941895,200,200,196.95,128.57288929342846,0.04878172588832488,4.9889062103040575e-05,,,,,,
9,78.27634964692497,0.39138174823462485,200,1.1345248866081237,200,200,190.25,130.89007087496148,0.04857868020304569,4.98490423793007e-05,,,,,,
10,92.55849898795344,0.4627924949397672,200,1.0179299926757812,200,200,168.1,118.70640965176419,0.0483756345177665,4.980289291435445e-05,200.0,200.0,188.45,118.99175250791568,95.00905310370503,200.0
11,88.7740236424312,0.443870118212156,200,0.9530744934082032,200,200,172.7,126.89821101527748,0.04817258883248731,4.975062532608282e-05,,,,,,
12,85.26083967739349,0.4263041983869675,200,0.9325462913513184,200,200,171.85,129.8481512257649,0.047969543147208124,4.969225277257163e-05,,,,,,
13,70.97859620228924,0.3548929810114462,200,0.8982100439071655,200,200,176.35,127.27230042421803,0.04776649746192894,4.962778994879906e-05,,,,,,
14,87.19841135330459,0.435992056766523,200,0.8985646533966064,200,200,189.0,123.99847005530343,0.04756345177664975,4.9557253082936274e-05,,,,,,
15,91.33848385617011,0.4566924192808506,200,0.8154593729972839,200,200,160.65,128.55643108495659,0.04736040609137056,4.948065993226203e-05,200.0,200.0,176.2,112.00665391389295,101.45500830299304,200.0
16,74.33668490257675,0.3716834245128837,200,0.846080391407013,200,200,186.75,125.89662888586003,0.04715736040609137,4.939802977869242e-05,,,,,,
17,81.52524151444489,0.40762620757222445,200,0.8057776165008544,200,200,180.65,126.53242482575071,0.046954314720812185,4.9309383423926694e-05,,,,,,
18,101.2684451334974,0.506342225667487,200,0.75184645652771,200,200,177.35,121.89674987901358,0.046751269035533,4.9214743184210665e-05,,,,,,
19,90.33063811497257,0.45165319057486286,200,0.71113126039505,200,200,183.4,119.12814373830705,0.04654822335025381,4.9114132884718526e-05,,,,,,
20,92.18119881699006,0.4609059940849503,200,0.7115407490730286,200,200,182.45,118.66149007150904,0.046345177664974625,4.900757785355515e-05,200.0,200.0,186.0,119.14893849743035,80.93715356624213,200.0
21,85.06038476013511,0.42530192380067555,200,0.7504457533359528,200,200,174.45,126.3129006210598,0.04614213197969543,4.889510491537976e-05,,,,,,
22,84.25629098377316,0.42128145491886576,200,0.6822103714942932,200,200,178.85,125.89069766006526,0.045939086294416245,4.877674238465309e-05,,,,,,
23,74.27355092722993,0.3713677546361497,200,0.6852683639526367,200,200,182.0,127.59002769607493,0.04573604060913706,4.8652520058509286e-05,,,,,,
24,95.34692840822106,0.4767346420411053,200,0.6667736887931823,200,200,176.55,117.56638762836596,0.04553299492385787,4.85224692092547e-05,,,,,,
25,74.94584911847929,0.37472924559239645,200,0.6303222525119782,200,200,185.6,132.68297906850333,0.04532994923857868,4.838662257649506e-05,200.0,200.0,194.65,117.54688201735365,92.87186764772025,200.0
26,98.2660775229162,0.49133038761458103,200,0.6115209352970123,200,200,174.45,121.84716827130408,0.04512690355329949,4.824501435889373e-05,,,,,,
27,103.8348783395363,0.5191743916976815,200,0.6317452263832092,200,200,168.6,114.57511987304537,0.044923857868020306,4.8097680205562195e-05,,,,,,
28,75.59847490209383,0.37799237451046913,200,0.575780462026596,200,200,177.2,132.83035156433536,0.04472081218274112,4.794465720708566e-05,,,,,,
29,84.37417376829005,0.42187086884145025,200,0.6295244824886322,200,200,192.5,132.041898612514,0.04451776649746193,4.7785983886185676e-05,,,,,,
