episode,total_reward,normalised_reward,steps,mean_loss,completed_requests,picked_up_requests,avg_wait_until_pickup,avg_excess_ride_time,epsilon,lr,eval_completed_requests,eval_picked_up_requests,eval_avg_wait_until_pickup,eval_avg_excess_ride_time,eval_eval_total_reward,eval_eval_steps
25,130.27046933691653,0.6513523466845826,200,3.2094264996051787,200,200,266.45,148.34029194120995,0.079375,8.905207671179658e-05,,,,,,
26,126.79266871227397,0.6339633435613699,200,3.4313719868659973,200,200,305.65,149.2501832584805,0.07843750000000001,8.80815877168243e-05,,,,,,
27,122.24814300712724,0.6112407150356362,200,2.688428933620453,200,200,291.5,167.51521887074097,0.0775,8.70764007046076e-05,200.0,200.0,566.55,392.63186376452177,35.59074034865725,200.0
28,60.2801119019325,0.3014005595096625,200,2.773775441646576,200,200,560.3,347.46699902707115,0.0765625,8.603756997751495e-05,,,,,,
29,131.9612071855028,0.659806035927514,200,2.439078528881073,200,200,403.85,184.9375118609213,0.075625,8.496618512552594e-05,,,,,,
30,142.70640335719028,0.7135320167859515,200,2.738553235530853,200,200,286.1,134.13962593714461,0.0746875,8.386336988340156e-05,200.0,200.0,428.2,189.2865301327175,103.43457503860688,200.0
31,125.3657983719344,0.626828991859672,200,2.3680416738986967,200,200,336.3,159.7735906388254,0.07375,8.2730280952042e-05,,,,,,
32,14.50144133070018,0.0725072066535009,200,2.609572904109955,200,200,573.15,405.7096668583258,0.0728125,8.156810678526678e-05,,,,,,
33,-56.41440655536333,-0.28207203277681664,200,2.3541699051856995,200,200,565.45,525.0488048176968,0.071875,8.037806634329102e-05,200.0,200.0,378.05,188.21651010363684,121.68394129519203,200.0
34,21.92813888857638,0.10964069444288191,200,2.717242798805237,200,200,629.0,394.8198873299359,0.0709375,7.916140781420451e-05,,,,,,
35,128.6700209202435,0.6433501046012176,200,2.311364984512329,200,200,274.5,127.53457634281091,0.07,7.791940730479456e-05,,,,,,
36,2.6357949536464798,0.013178974768232399,200,2.4514222633838654,200,200,567.6,423.50094607564506,0.0690625,7.665336750208645e-05,200.0,200.0,303.5,136.252745262502,137.67840989758798,200.0
37,84.91066562942065,0.4245533281471032,200,2.128758201599121,200,200,429.15,246.53584749741194,0.06812499999999999,7.536461630700439e-05,,,,,,
38,8.53413642404158,0.0426706821202079,200,1.9349437582492828,200,200,581.25,387.78312651136315,0.06718750000000001,7.405450544158723e-05,,,,,,
39,-23.3623657323366,-0.11681182866168299,200,2.4032442605495454,200,200,530.8,418.0688664406295,0.06625,7.272440903121813e-05,200.0,200.0,667.55,369.870181329465,44.68772605358804,200.0
40,46.85004593153021,0.23425022965765105,200,2.058176946640015,200,200,489.6,270.32040526786864,0.0653125,7.137572216335712e-05,,,,,,
41,-1319.444246628802,-6.597221233144009,200,2.572008445262909,200,200,2664.75,732.6776268792615,0.064375,7.000985942428724e-05,,,,,,
42,75.46475600676631,0.37732378003383155,200,2.2528339111804963,200,200,498.15,232.29439380334898,0.06343750000000001,6.862825341540827e-05,200.0,200.0,428.8,265.74197962677323,101.42408993201929,200.0
43,121.92640762662059,0.609632038133103,200,2.324379932880402,200,200,349.75,157.9812041877916,0.0625,6.723235325063608e-05,,,,,,
44,1.5259181471747958,0.007629590735873979,200,2.207240571975708,200,200,699.9,351.1525180780678,0.061562500000000006,6.582362303648221e-05,,,,,,
45,-1575.5480250861976,-7.8777401254309884,200,2.487081466913223,200,200,2987.85,698.9289791471076,0.060625,6.440354033640832e-05,200.0,200.0,660.85,311.28084146910396,24.597245492384165,200.0
46,59.715205746811705,0.29857602873405853,200,2.402138895988464,200,200,583.65,330.4601834454796,0.0596875,6.297359462106611e-05,,,,,,
47,-1372.3150919725153,-6.861575459862577,200,2.8413391137123107,200,200,2672.45,769.5792019627846,0.058750000000000004,6.153528570604838e-05,,,,,,
48,81.30900742123607,0.4065450371061804,200,2.8117685604095457,200,200,405.5,219.76900073528842,0.0578125,6.00901221787891e-05,200.0,200.0,651.15,473.56052823370965,-9.99722185218003,200.0
49,112.28315289191401,0.5614157644595701,200,2.784603803157806,200,200,372.8,202.6612044202089,0.056875,5.863961981626444e-05,,,,,,
50,98.19553724612629,0.4909776862306315,200,2.5667904949188234,200,200,357.65,167.48862654811725,0.0559375,5.718529999515138e-05,,,,,,
51,96.30891799086233,0.48154458995431165,200,2.5659148907661438,200,200,528.4,208.07870359348078,0.055,5.5728688096113744e-05,200.0,200.0,722.25,316.0773215787348,46.485115199304786,200.0
52,120.2249434590494,0.601124717295247,200,2.631281669139862,200,200,332.45,156.15696767890233,0.054062500000000006,5.4271311903888536e-05,,,,,,
53,122.74163405518537,0.6137081702759268,200,2.3549595737457274,200,200,331.6,149.07265022408086,0.053125,5.2814700004850905e-05,,,,,,
54,126.10505980411057,0.6305252990205529,200,2.2951843690872193,200,200,320.95,146.3064265518558,0.0521875,5.136038018373783e-05,200.0,200.0,266.35,131.4142794547246,135.20459683975403,200.0
55,127.33302909467412,0.6366651454733706,200,2.477336578369141,200,200,300.55,138.0412503911153,0.051250000000000004,4.9909877821213206e-05,,,,,,
56,87.95460403969057,0.4397730201984528,200,2.5289981603622436,200,200,396.45,192.24179760082265,0.050312499999999996,4.8464714293953916e-05,,,,,,
57,124.17564685182262,0.6208782342591131,200,2.23672496676445,200,200,344.55,169.18010439083395,0.049375,4.7026405378935925e-05,200.0,200.0,304.15,163.40355313412977,124.57989670807146,200.0
