epoch,train_loss,train_ce_loss,train_kl_loss,train_choice_accuracy,val_loss,val_choice_accuracy,val_mean_teacher_rank_of_pred
1,2.2951643466949463,2.2144263982772827,0.1614759216705958,0.3263888855775197,2.3773257732391357,0.3,2.933333333333333
2,2.0420919259389243,1.98708180586497,0.11002036184072495,0.4704861044883728,2.125333786010742,0.36666666666666664,2.2333333333333334
3,1.9472333987553914,1.8954589366912842,0.10354880740245183,0.4635416666666667,1.892878770828247,0.36666666666666664,2.1333333333333333
4,1.5945555766423543,1.5270687739054363,0.1349735508362452,0.4982638855775197,1.6970335245132446,0.4666666666666667,1.9666666666666666
5,1.4212173620859783,1.2965633869171143,0.24930795033772787,0.6996527711550394,1.5430351495742798,0.5333333333333333,1.8333333333333333
6,1.2665968736012776,1.072859565416972,0.3874746263027191,0.7413194378217062,1.4358131885528564,0.6333333333333333,1.4666666666666666
7,1.2722141742706299,1.0079097747802734,0.5286087791124979,0.7256944378217062,1.3718092441558838,0.6666666666666666,1.4333333333333333
8,1.2973492940266926,0.9881357351938883,0.6184271574020386,0.7829861044883728,1.3415203094482422,0.8,1.2666666666666666
9,1.1854180892308552,0.7925770282745361,0.7856821219126383,0.8229166666666666,1.3232719898223877,0.7666666666666667,1.3333333333333333
10,1.1370431979497273,0.6850685477256775,0.9039492805798849,0.8836805621782938,1.301116704940796,0.8666666666666667,1.1666666666666667
11,1.0638707081476848,0.7112875779469808,0.7051662604014078,0.8958333333333334,1.282761573791504,0.8333333333333334,1.2333333333333334
12,1.0751310586929321,0.7315384348233541,0.6871853470802307,0.8888888955116272,1.2784773111343384,0.8,1.3333333333333333
13,1.1406172116597493,0.8477163314819336,0.5858017206192017,0.875,1.2803953886032104,0.7333333333333333,1.4
14,1.1021068493525188,0.8347163200378418,0.5347810586293539,0.8836805621782938,1.2747210264205933,0.7333333333333333,1.4
15,1.0377301375071208,0.7526607513427734,0.5701387524604797,0.8506944378217062,1.2641528844833374,0.7,1.4666666666666666
16,1.0463205377260845,0.7601821422576904,0.572276751200358,0.8072916666666666,1.2541542053222656,0.7333333333333333,1.4
17,1.0374744137128193,0.7607321540514628,0.5534845292568207,0.828125,1.2459290027618408,0.7333333333333333,1.4
18,1.0792488654454548,0.7962319850921631,0.5660337706406912,0.7847222288449606,1.2398353815078735,0.7,1.4333333333333333
19,1.067980448404948,0.7708724935849508,0.5942159295082092,0.8211805621782938,1.2356772422790527,0.7,1.4333333333333333
20,1.0115258892377217,0.7159400582313538,0.5911717017491659,0.8506944378217062,1.2302263975143433,0.7333333333333333,1.4
