raw_max_delay,raw_avg_delay,raw_waited,raw_future_wait,raw_total_wait,raw_route,raw_activation,raw_workload,raw_imbalance,raw_new_wait_viol,raw_new_ride_viol,raw_exist_wait_viol,raw_exist_ride_viol,raw_share,norm_max_delay,norm_avg_delay,norm_waited,norm_future_wait,norm_total_wait,norm_route,norm_activation,norm_workload,norm_imbalance,norm_new_wait_viol,norm_new_ride_viol,norm_exist_wait_viol,norm_exist_ride_viol,norm_share,max_delay_cost,waited_cost,future_wait_cost,route_cost,activation_cost,workload_cost,imbalance_cost,new_wait_viol_cost,new_ride_viol_cost,exist_wait_viol_cost,exist_ride_viol_cost,share_bonus
0.0,0.0,0.0,28.81678454203707,28.81678454203707,0.0,1.0,49.019796439404864,49.019796439404864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.25,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,26.13287349268326,26.13287349268326,0.0,1.0,46.335885390051054,46.335885390051054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.25,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
85.77147611389162,42.88573805694581,0.0,47.376236144496175,47.376236144496175,85.77147611389162,0.0,39.73532543765501,39.73532543765501,0.0,0.0,0.0,12897.670499140699,0.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,4.65,0.0,0.8999999999999999,0.6000000000000001,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,0.75,0.0
15.174747999857729,7.5873739999288645,0.0,47.376236144496175,47.376236144496175,15.174747999857729,0.0,91.43543375679698,91.43543375679698,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.65,0.0,0.8999999999999999,0.6000000000000001,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,0.0,0.1
0.0,0.0,0.0,62.96194206087364,62.96194206087364,0.0,0.0,107.00674082508229,107.00674082508229,0.0,0.0,0.0,0.0,1.0,-0.5420546291293843,-0.5420546291293843,0.0,1.3460664249293766,1.3460664249293766,-0.5420546291293843,-0.7302967433402215,1.248518718370165,1.248518718370165,0.0,0.0,0.0,-0.4472135954999579,1.0954451150103324,-0.8401846751505456,0.0,0.40381992747881296,-0.10841092582587686,-0.18257418583505539,0.249703743674033,0.249703743674033,0.0,0.0,0.0,-0.11180339887498948,0.10954451150103324
0.0,0.0,0.0,44.0688961885909,44.0688961885909,0.0,1.0,88.11369495279956,48.378369515144556,0.0,0.0,0.0,0.0,0.0,-0.4902476294363365,-0.4902476294363365,0.0,0.09419803069977825,0.09419803069977825,-0.4902476294363365,0.9128709291752769,0.7063903009661937,-0.49205657677890347,0.0,0.0,0.0,-0.40824829046386296,-0.6454972243679029,-0.7598838256263216,0.0,0.028259409209933473,-0.0980495258872673,0.22821773229381923,0.14127806019323874,-0.0984113153557807,0.0,0.0,0.0,-0.10206207261596574,-0.06454972243679029
0.0,0.0,0.0,23.386606421055774,23.386606421055774,0.0,1.0,50.24910089171732,50.24910089171732,0.0,0.0,0.0,0.0,0.0,-0.4511198319211342,-0.4511198319211342,0.0,-1.154046321549589,-1.154046321549589,-0.4511198319211342,0.8017837257372732,-0.566217390376564,-0.37020891169147946,0.0,0.0,0.0,-0.3779644730092272,-0.5855400437691199,-0.6992357394777581,0.0,-0.3462138964648767,-0.09022396638422685,0.2004459314343183,-0.11324347807531282,-0.07404178233829589,0.0,0.0,0.0,-0.0944911182523068,-0.058554004376911994
89.34916047988708,89.34916047988708,0.0,41.81629935439639,41.81629935439639,89.34916047988708,0.0,0.0,0.0,0.0,0.0,0.0,78013.93992989713,0.0,1.6506101247305647,2.205099411099028,0.0,0.11786653811285709,0.11786653811285709,1.6506101247305647,-0.9354143466934853,-2.4026324097627048,-2.406932907831378,0.0,0.0,0.0,1.798725126360174,-0.5400617248673218,2.5584456933323754,0.0,0.035359961433857126,0.330122024946113,-0.23385358667337133,-0.480526481952541,-0.4813865815662756,0.0,0.0,0.0,0.4496812815900435,-0.05400617248673219
87.3544250313509,87.3544250313509,0.0,41.81629935439639,41.81629935439639,87.3544250313509,0.0,102.38303403119147,102.38303403119147,0.0,46.80948470884963,0.0,76095.85583861759,0.0,1.321059577525168,1.6188890390702417,0.0,0.11190545067798256,0.11190545067798256,1.321059577525168,-0.8432740427115677,0.6103974978573597,0.6666540064804178,0.0,2.6666666666666665,0.0,1.4360943075979378,-0.5039526306789698,2.0476423451640104,0.0,0.03357163520339477,0.2642119155050336,-0.21081851067789192,0.12207949957147196,0.13333080129608357,0.0,0.7999999999999999,0.0,0.35902357689948444,-0.05039526306789698
0.0,0.0,0.0,41.81629935439639,41.81629935439639,0.0,0.0,68.67879382505794,68.67879382505794,0.0,0.0,0.0,15513.317950875015,1.0,-0.6692106620838042,-0.6132723122937581,0.0,0.10674912049011369,0.10674912049011369,-0.6692106620838042,-0.7745966692414834,0.32182563308045226,0.370022553081233,0.0,-0.31622776601683794,0.0,1.0157080996694507,1.449137674618944,-1.0372765262298966,0.0,0.032024736147034105,-0.13384213241676085,-0.19364916731037085,0.06436512661609045,0.0740045106162466,0.0,-0.09486832980505137,0.0,0.2539270249173627,0.1449137674618944
0.0,0.0,0.0,8.098035378728639,8.098035378728639,0.0,1.0,24.273337683892294,5.412496718916486,0.0,0.0,0.0,0.0,0.0,-0.6272513367686491,-0.5768232968232011,0.0,-1.9846623945067026,-1.9846623945067026,-0.6272513367686491,1.044465935734187,-0.3919420903112203,-1.2134131190796502,0.0,-0.30151134457776363,0.0,-0.7169994654676405,-0.5838742081211423,-0.9722395719914061,0.0,-0.5953987183520107,-0.12545026735372983,0.26111648393354675,-0.07838841806224406,-0.24268262381593006,0.0,-0.09045340337332909,0.0,-0.17924986636691012,-0.05838742081211423
36.38373164228858,36.38373164228858,0.0,37.46285022829403,37.46285022829403,36.38373164228858,0.0,18.860840964975807,18.860840964975807,0.0,0.0,0.0,5171.627483379307,0.0,0.26528924291780587,0.41873098958291477,0.0,-0.009259414112432402,-0.009259414112432402,0.26528924291780587,-0.8091735937126869,-0.5440001418000937,-0.39277545387521895,0.0,-0.2886751345948129,0.0,0.8378395446702273,-0.5527707983925667,0.41119832652259913,0.0,-0.002777824233729721,0.053057848583561176,-0.20229339842817173,-0.10880002836001874,-0.0785550907750438,0.0,-0.08660254037844388,0.0,0.2094598861675568,-0.05527707983925667
36.369332794196396,36.369332794196396,0.0,37.46285022829403,37.46285022829403,36.369332794196396,0.0,60.02063628440794,60.02063628440794,0.0,0.0,0.0,5168.041100291446,0.0,0.2546619647804927,0.400375952056075,0.0,-0.008927176463106857,-0.008927176463106857,0.2546619647804927,-0.7595545253127499,0.3202862248870985,0.4167373610966501,0.0,-0.2773500981126146,0.0,0.7848723387817607,-0.5262348115842176,0.3947260454097637,0.0,-0.002678152938932057,0.05093239295609854,-0.18988863132818748,0.0640572449774197,0.08334747221933003,0.0,-0.08320502943378437,0.0,0.19621808469544016,-0.05262348115842176
0.0,0.0,0.0,43.96344694155101,43.96344694155101,0.0,0.0,60.13874924671467,60.13874924671467,0.0,0.0,0.0,79.13092802657422,1.0,-0.6905576887493514,-0.6591739159153673,0.0,0.4504343419518051,0.4504343419518051,-0.6905576887493514,-0.7182430061427788,0.3098327772513558,0.40149313684611576,0.0,-0.2672612419124244,0.0,-0.025067195739697606,1.52362350055011,-1.0703644175614948,0.0,0.1351303025855415,-0.13811153774987028,-0.1795607515356947,0.06196655545027116,0.08029862736922316,0.0,-0.08017837257372731,0.0,-0.006266798934924401,0.152362350055011
